Scenario,Algorithm,Delay,Queue,CO2,Throughput
low,RL,24.686274509803923,6.254901960784314,17045.93663016002,12
low,RL,24.686274509803923,6.254901960784314,17045.93663016002,12
low,RL,20.274509803921568,6.019607843137255,15888.312229094072,9
low,RL,29.823529411764707,6.431372549019608,17117.008267637677,13
low,RL,29.215686274509803,6.450980392156863,17609.454718865836,7
med,RL,39.30769230769231,10.096153846153847,25363.061879778856,40
med,RL,35.44230769230769,10.134615384615385,25472.288957898563,38
med,RL,35.61538461538461,10.096153846153847,24771.643431234952,48
med,RL,41.86538461538461,10.384615384615385,25030.955037418138,46
med,RL,35.5,10.096153846153847,24900.036283746827,49
high,RL,48.48076923076923,14.23076923076923,35932.32217023942,46
high,RL,61.07692307692308,14.98076923076923,35852.40476136075,49
high,RL,47.17307692307692,14.096153846153847,34664.13206169889,44
high,RL,46.98076923076923,14.057692307692308,35486.27457476231,46
high,RL,68.40384615384616,15.711538461538462,39738.095242135925,48
roboust,RL,38.71153846153846,10.326923076923077,26490.991092416705,32
roboust,RL,48.98076923076923,10.942307692307692,28050.9728887889,28
roboust,RL,36.76923076923077,10.192307692307692,25989.264935629217,28
roboust,RL,33.28846153846154,10.0,25867.399775349724,22
roboust,RL,35.61538461538461,10.038461538461538,25985.723718049874,24
low,NSGA-II,19.92418196328811,7.134,18682931.99923821,1252.0
high,NSGA-II,63.7787033683448,26.384,59398589.316519976,2760.0
